Date [mm/dd/yyyy], Time [HH:MM:SS.ZZ], Latitude [deg], Longitude [deg]
7/14/2021,22:9:11.0,37.79370683,-122.41948267
7/14/2021,22:9:11.0,37.79370683,-122.41948267
7/14/2021,22:9:12.0,37.79374517,-122.41947900
7/14/2021,22:9:12.0,37.79374517,-122.41947900
7/14/2021,22:9:13.0,37.79379217,-122.41947900
7/14/2021,22:9:13.0,37.79379217,-122.41947900
7/14/2021,22:9:13.0,37.79379217,-122.41947900
7/14/2021,22:9:14.0,37.79380900,-122.41948467
7/14/2021,22:9:14.0,37.79380900,-122.41948467
7/14/2021,22:9:15.0,37.79384900,-122.41949550
7/14/2021,22:9:15.0,37.79384900,-122.41949550
7/14/2021,22:9:16.0,37.79390300,-122.41951100
7/14/2021,22:9:16.0,37.79390300,-122.41951100
7/14/2021,22:9:17.0,37.79395667,-122.41952017
7/14/2021,22:9:17.0,37.79395667,-122.41952017
7/14/2021,22:9:18.0,37.79400933,-122.41951667
7/14/2021,22:9:18.0,37.79400933,-122.41951667
